D88,D27,D14,D33,D36,D45,D57,D63,D54
176.1054,92.0283,-0.4163,85.7632,-176.1895,70.2675,-171.4015,76.9219,-50.0181
172.1428,-87.5935,-157.9763,-99.0651,-160.2465,-169.08,159.8126,62.4522,154.8558
-172.2204,-93.0979,-0.8519,-179.0707,-63.2016,-160.6195,-103.5723,-65.49,155.6815
-175.9857,-92.4262,1.2152,177.3959,52.933,-171.5576,162.2055,-70.1408,156.5247
-173.7644,-92.4355,1.5459,178.6502,69.9016,64.239,-173.3864,76.0755,47.648
173.5547,-85.9837,-178.2772,177.6221,53.4709,-163.6513,-104.139,67.9419,156.9773
174.2564,92.2883,2.1176,178.2955,69.659,64.2734,-173.8265,76.3241,47.1277
174.7372,92.6826,1.9968,177.4659,52.9309,-168.8787,-88.0318,163.6917,155.5536
-177.6371,86.9914,146.0464,114.6782,65.5537,176.3887,166.8102,71.0428,59.4077
173.1964,92.3414,-1.664,-175.8139,178.5602,-49.9918,-86.7604,165.7929,-46.2147
-177.645,86.9923,146.0456,114.6792,65.5545,176.3883,166.8109,71.0426,59.4078
-173.4459,-91.8778,22.151,-98.2473,-158.6939,-170.5416,164.7397,161.7795,155.4653
-174.4972,-92.562,-2.3368,-175.2945,178.9761,-49.5733,-86.3429,165.9952,-45.9248
175.5226,92.5364,2.1291,177.1291,52.808,-171.6702,162.2708,-70.1761,156.6178
-180.0127,87.1971,177.9799,86.5464,-177.2298,70.1444,-171.1997,76.9634,-48.3309
173.1964,92.3412,-1.6639,-175.8139,178.5602,-49.9917,-86.7604,165.793,-46.2148
-172.2849,-92.7046,0.872,178.305,-66.943,-61.5101,-171.3099,166.5102,-169.7375
-173.7977,86.3287,-178.649,178.6456,69.8966,64.2386,-173.3792,76.0679,47.6595
179.4463,86.7971,178.3198,-177.3785,-167.2768,-167.4715,-88.3218,163.4527,155.284
176.0948,-86.7067,179.2297,85.7651,-176.1909,70.2677,-171.4021,76.9284,-50.0124
-172.3048,-92.7085,0.8607,178.3184,-66.9464,-61.5059,-171.3156,166.4964,-169.7719
-173.4502,-91.8774,22.1509,-98.247,-158.6936,-170.5414,164.7396,161.78,155.4651
175.5875,-86.7145,178.7435,85.7056,-175.8254,70.2767,-163.476,173.8779,-50.2963
-174.534,86.0915,177.9524,-175.3077,178.9769,-49.5753,-86.3489,165.9845,-45.9195
